,year,Mt 3:3/J 1:23/Mk 1:3/L 3:4/Iz 40:3,Ex 20:15/Dt 5:19,Z 127:1,Ex 20:12/Dt 5:16/Ef 6:2,Gn 3:19,Pr 26:27,Ex 20:13/Dt 5:17,2S 14:5,Ex 20:14/Dt 5:18,Iz 45:8,Pr 31:10,Ez 24:19
4,1925,4,6,2,3,4,3,11,0,3,1,1,1
2,1926,9,3,2,6,1,4,6,1,0,0,2,3
7,1927,11,7,0,2,1,2,11,2,3,0,2,0
5,1928,6,3,2,3,0,2,6,1,3,1,0,0
6,1929,5,5,2,4,5,3,16,0,3,4,1,0
3,1930,6,3,1,7,3,4,7,1,1,2,1,0
1,1931,9,6,0,0,1,3,6,1,1,0,0,1
14,1932,1,1,0,2,0,1,7,1,0,0,0,1
0,1933,4,1,1,2,2,2,5,2,0,0,0,0
8,1934,0,2,0,0,2,1,11,1,1,3,1,2
10,1935,3,2,0,2,0,0,6,0,0,1,0,0
9,1936,1,2,0,1,0,2,7,0,1,0,1,1
13,1937,1,2,0,0,0,3,2,0,0,1,1,1
11,1938,0,0,1,0,0,5,3,0,0,0,1,1
12,1939,5,4,0,4,0,1,3,1,1,0,0,0
